State,County,Year,EV_Count,Population,Charging_Station_Sites,Charging_Ports,DC_Fast_Ports,Level2_Ports,EV_per_Station,EV_per_Port,Stations_per_10k_People,Ports_per_10k_People,EV_per_10k_People
CO,HUERFANO,2021,166.0,6940.0,2.0,5.0,1.0,4.0,83.0,33.2,2.881844380403458,7.204610951008645,239.19308357348703
CO,HUERFANO,2022,341.0,7089.0,2.0,5.0,1.0,4.0,170.5,68.2,2.8212723938496262,7.053180984624065,481.02694315136125
CO,HUERFANO,2023,494.0,7049.0,3.0,7.0,3.0,4.0,164.66666666666666,70.57142857142857,4.255922825932756,9.930486593843098,700.8086253369272
CO,HUERFANO,2024,701.0,6993.0,3.0,7.0,3.0,4.0,233.66666666666666,100.14285714285714,4.29000429000429,10.01001001001001,1002.4310024310025
CO,JACKSON,2020,23.0,1379.0,0.0,0.0,0.0,0.0,,,0.0,0.0,166.78752719361856
CO,JACKSON,2021,33.0,1360.0,0.0,0.0,0.0,0.0,,,0.0,0.0,242.64705882352942
CO,JACKSON,2022,78.0,1314.0,0.0,0.0,0.0,0.0,,,0.0,0.0,593.607305936073
CO,JACKSON,2023,85.0,1311.0,0.0,0.0,0.0,0.0,,,0.0,0.0,648.3600305110602
CO,JACKSON,2024,104.0,1277.0,0.0,0.0,0.0,0.0,,,0.0,0.0,814.4087705559906
CO,JEFFERSON,2020,49845.0,583131.0,33.0,112.0,44.0,68.0,1510.4545454545455,445.04464285714283,0.5659105758397341,1.9206661967894008,854.7822015979256
CO,JEFFERSON,2021,71866.0,581002.0,56.0,177.0,52.0,125.0,1283.3214285714287,406.02259887005647,0.9638521037793328,3.046461113731106,1236.9320587536704
CO,JEFFERSON,2022,100909.0,576703.0,65.0,201.0,62.0,139.0,1552.446153846154,502.0348258706468,1.1270966164559575,3.48532953704073,1749.7568072300649
CO,JEFFERSON,2023,145605.0,578084.0,94.0,285.0,98.0,187.0,1548.9893617021276,510.89473684210526,1.6260612644529169,4.930079365628525,2518.7516001134786
CO,JEFFERSON,2024,229523.0,580359.0,101.0,303.0,104.0,199.0,2272.5049504950493,757.5016501650165,1.7403021233408975,5.220906370022693,3954.845190649236
CO,KIOWA,2020,30.0,1453.0,0.0,0.0,0.0,0.0,,,0.0,0.0,206.4693737095664
